Rank,CAD,Score (lower is better),Eigenvalues,Status
142,778897,1.4909,"0.0050, 0.0002, 0.0002",
143,8122643,1.4921,"0.0047, 0.0045, 0.0001",
144,779861,1.4968,"0.0053, 0.0044, 0.0001",
145,765201,1.4996,"0.0049, 0.0033, 0.0001",
146,8174395,1.5112,"0.0148, 0.0042, 0.0000",
147,781282,1.5132,"0.0041, 0.0008, 0.0001",
148,776840,1.5138,"0.0044, 0.0024, 0.0008",
149,8179499,1.5249,"0.0077, 0.0063, 0.0008",
150,778899,1.5313,"0.0026, 0.0003, 0.0001",
151,780252,1.5437,"0.1124, 0.0622, 0.0001",
152,792783,1.5554,"0.0006, 0.0006, 0.0001",
153,8179627,1.5605,"0.0083, 0.0023, 0.0000",
154,793997,1.5610,"0.0611, 0.0377, 0.0011",
155,775316,1.5644,"0.0098, 0.0029, 0.0000",
156,8148795,1.5739,"0.0033, 0.0028, 0.0008",
157,793787,1.5756,"0.0174, 0.0003, 0.0000",
158,8098446,1.5770,"0.0014, 0.0004, 0.0001",
159,772797,1.5850,"0.0141, 0.0001, 0.0000",
160,772796,1.5853,"0.0141, 0.0001, 0.0000",
161,8181356,1.6000,"0.0140, 0.0000, 0.0000",
162,775510,1.6004,"0.0139, 0.0000, 0.0000",
163,8095941,1.6013,"0.0013, 0.0002, 0.0001",
164,8117985,1.6115,"0.0033, 0.0013, 0.0000",
165,793405,1.6139,"0.0005, 0.0003, 0.0001",
166,8139855,1.6180,"0.0027, 0.0022, 0.0008",
167,772840,1.6279,"0.0089, 0.0001, 0.0000",
168,772841,1.6287,"0.0088, 0.0001, 0.0000",
169,8063088,1.6360,"0.0073, 0.0004, 0.0000",
170,778844,1.6509,"0.0024, 0.0024, 0.0000",
171,793791,1.6531,"0.0078, 0.0003, 0.0000",
172,777991,1.6554,"0.0041, 0.0020, 0.0000",
173,8089434,1.6562,"0.0077, 0.0021, 0.0009",
174,8063089,1.6595,"0.0038, 0.0005, 0.0000",
175,777133,1.6617,"0.0025, 0.0025, 0.0000",
176,8121692,1.6813,"0.0015, 0.0001, 0.0000",
177,8121694,1.6814,"0.0015, 0.0001, 0.0000",
178,791713,1.6830,"0.0035, 0.0003, 0.0000",
179,793768,1.6832,"0.0007, 0.0003, 0.0000",
180,8141343,1.6859,"0.0004, 0.0001, 0.0000",
181,792510,1.6877,"0.0024, 0.0005, 0.0000",
182,798512,1.6905,"0.0029, 0.0002, 0.0000",
183,767340,1.6929,"0.0024, 0.0003, 0.0000",
184,777253,1.6959,"0.0013, 0.0008, 0.0000",
185,763620,1.6969,"0.0024, 0.0001, 0.0000",
186,763621,1.6970,"0.0024, 0.0001, 0.0000",
187,794679,1.6975,"0.0024, 0.0001, 0.0000",
188,777087,1.7011,"0.0012, 0.0010, 0.0000",
189,794601,1.7022,"0.0018, 0.0001, 0.0000",
190,798351,1.7033,"0.0019, 0.0000, 0.0000",
191,793789,1.7051,"0.0020, 0.0003, 0.0000",
192,8126325,1.7052,"0.0038, 0.0038, 0.0009",
193,8126327,1.7074,"0.0054, 0.0041, 0.0009",
194,8150394,1.7118,"0.0008, 0.0006, 0.0000",
195,776935,1.7127,"0.0015, 0.0003, 0.0000",
196,784049,1.7140,"0.0010, 0.0004, 0.0000",
197,8126238,1.7145,"0.0038, 0.0038, 0.0009",
198,763660,1.7147,"0.0005, 0.0001, 0.0000",
199,767940,1.7150,"0.0005, 0.0005, 0.0000",
200,793689,1.7152,"0.0004, 0.0001, 0.0000",
201,8092190,1.7174,"0.0006, 0.0005, 0.0000",
202,794159,1.7176,"0.0004, 0.0000, 0.0000",
203,779608,1.7186,"0.0005, 0.0005, 0.0000",
204,792795,1.7190,"0.0001, 0.0001, 0.0000",
205,8092171,1.7214,"0.0006, 0.0002, 0.0000",
206,776556,1.7406,"0.1165, 0.0669, 0.0000",
207,781915,1.7426,"0.0050, 0.0028, 0.0009",
208,783619,1.7477,"0.0584, 0.0055, 0.0011",
209,791816,1.7831,"0.1486, 0.0487, 0.0000",
210,791819,1.7863,"0.1667, 0.0256, 0.0002",
211,791817,1.8138,"0.1477, 0.0532, 0.0000",
212,779533,1.8212,"0.0180, 0.0150, 0.0011",
213,779530,1.8684,"0.0181, 0.0152, 0.0011",
214,784907,1.8762,"0.0400, 0.0096, 0.0012",
215,780827,1.9413,"0.0371, 0.0232, 0.0012",
216,779545,1.9638,"0.1465, 0.0642, 0.0008",
217,778504,1.9756,"0.0123, 0.0091, 0.0011",
218,792440,1.9985,"0.0172, 0.0077, 0.0012",
219,792441,2.0375,"0.0169, 0.0080, 0.0012",
220,793832,2.1468,"0.0133, 0.0039, 0.0012",
221,8188922,2.1930,"0.0024, 0.0014, 0.0012",
222,793796,2.1945,"0.0062, 0.0036, 0.0012",
223,8166043,2.3734,"0.0062, 0.0044, 0.0013",
224,783595,2.4280,"0.0137, 0.0064, 0.0014",
225,8155627,2.4835,"0.0155, 0.0100, 0.0014",
226,8111161,2.5043,"0.0073, 0.0055, 0.0014",
227,8095189,2.5569,"0.1545, 0.0889, 0.0008",
228,8176904,2.5981,"0.1829, 0.0816, 0.0003",
229,766859,2.5996,"0.2094, 0.0552, 0.0002",
230,8091592,2.6203,"0.1561, 0.0910, 0.0008",
231,785887,2.6246,"0.0059, 0.0030, 0.0014",
232,781744,2.6472,"0.1001, 0.0060, 0.0015",
233,794262,2.8012,"0.0055, 0.0017, 0.0015",
234,785149,2.9612,"0.0453, 0.0385, 0.0017",
235,8139623,3.1281,"0.0175, 0.0058, 0.0017",
236,794101,3.2330,"0.2331, 0.0804, 0.0003",
237,781921,3.3377,"0.0190, 0.0038, 0.0018",
238,781926,3.4004,"0.0210, 0.0084, 0.0018",
239,780273,3.5373,"0.0086, 0.0058, 0.0019",
240,787629,3.6234,"0.0854, 0.0236, 0.0020",
241,783617,3.7134,"0.0109, 0.0048, 0.0019",
242,794105,3.7208,"0.2636, 0.0543, 0.0011",
243,798480,3.7301,"0.0265, 0.0061, 0.0020",
244,798475,3.7460,"0.0261, 0.0061, 0.0020",
245,794871,3.9715,"0.0404, 0.0123, 0.0021",
246,774937,3.9961,"0.0119, 0.0071, 0.0021",
247,789366,4.0369,"0.0045, 0.0022, 0.0021",
248,8179629,4.4558,"0.0645, 0.0423, 0.0023",
249,8172406,4.5383,"0.0359, 0.0144, 0.0024",
250,8104626,4.5780,"0.1822, 0.0484, 0.0022",
251,787914,4.6522,"0.0383, 0.0085, 0.0024",
252,794870,4.6785,"0.0363, 0.0143, 0.0024",
253,779815,4.7524,"0.0289, 0.0118, 0.0024",
254,8141860,4.8165,"0.0324, 0.0088, 0.0025",
