scan,coarse_processing_time,coarse_rank,coarse_cum_error,fine_processing_time,fine_rank,fine_fitness,fine_rmse,fine_nb_inliers_correspondence_set
781899.ply,0.1297740936279297,8.0,0.8802371062566221,8.710417747497559,1.0,0.9443333333333334,0.0066962220533483665,414
781912.ply,0.07334256172180176,6.0,0.34207459861582573,26.66457200050354,2.0,0.9916666666666667,0.007137652485668325,841
781914.ply,0.07403969764709473,5.0,0.578437001115697,8.691126585006714,1.0,0.998,0.006063384236036132,1143
781915.ply,0.07060074806213379,4.0,0.37177515416313417,30.634514093399048,3.0,0.995,0.0068378039661096965,889
781916.ply,0.0903785228729248,1.0,0.31723396814973387,26.557469367980957,1.0,1.0,0.006016192239016758,750
781917.ply,0.07315325736999512,1.0,0.32610756994122103,28.87220025062561,1.0,1.0,0.006591591926761366,723
781921.ply,0.07315516471862793,2.0,0.5530663934198496,17.08079195022583,1.0,0.8986666666666666,0.0077634869426653225,645
781923.ply,0.07849359512329102,6.0,0.3128796588102638,25.727401971817017,1.0,1.0,0.005789811503291617,742
781926.ply,0.0728607177734375,14.0,0.6598241571723539,29.38566279411316,1.0,0.9546666666666667,0.008852755530928074,434
782016.ply,0.07395291328430176,6.0,0.8927437598410235,10.14634370803833,1.0,0.9823333333333333,0.007688447914073187,315
782185.ply,0.0740664005279541,2.0,0.21479159655517377,14.37650728225708,1.0,0.988,0.006812976705216826,648
782438.ply,0.07394528388977051,1.0,0.5819632195619608,11.020160675048828,1.0,1.0,0.005048651433080195,617
783475.ply,0.07387971878051758,69.0,1.1204044879610806,15.447792530059814,,,,367
783595.ply,0.07308220863342285,4.0,0.37780423918823036,39.5880343914032,1.0,1.0,0.0077273584564598345,806
783596.ply,0.07413506507873535,1.0,0.21587078704947338,40.91120386123657,1.0,0.9936666666666667,0.009564189315881832,695
783617.ply,0.07330131530761719,1.0,0.18036464364868893,43.69154238700867,1.0,1.0,0.0066037456928683125,769
783619.ply,0.11431193351745605,1.0,0.3595109267048494,22.779794692993164,1.0,0.9993333333333333,0.008944751296564864,588
783854.ply,0.07388973236083984,1.0,0.40728525564670537,15.067115783691406,1.0,0.8536666666666667,0.011551290756349608,80
784049.ply,0.0738527774810791,3.0,0.9541933325870788,2.292292594909668,2.0,0.9996666666666667,0.0012563891737229615,1983
784111.ply,0.07720685005187988,1.0,0.20284388931762365,17.140869140625,1.0,1.0,0.00568257542617829,750
784856.ply,0.07457756996154785,15.0,0.6885287281347164,23.113858461380005,1.0,0.5893333333333334,0.012561019711057766,389
784907.ply,0.07341790199279785,67.0,1.2679878301435645,8.273678302764893,,,,244
785149.ply,0.07953858375549316,12.0,0.8266137079404655,19.42297601699829,1.0,0.8333333333333334,0.011026627446419109,303
785150.ply,0.07134771347045898,9.0,0.6729676079640737,23.20809292793274,5.0,0.7136666666666667,0.012030331380842677,292
785159.ply,0.08028244972229004,221.0,1.8735190843527738,30.663264989852905,,,,460
785169.ply,0.07257080078125,1.0,0.32272057214003763,29.941405296325684,1.0,0.9276666666666666,0.009514520482598867,483
785173.ply,0.07175421714782715,2.0,0.4272610904906382,21.34746289253235,1.0,0.9033333333333333,0.010837032158460444,395
785184.ply,0.07322406768798828,1.0,0.3298745922991742,8.571971893310547,1.0,0.68,0.012792814157598496,294
785185.ply,0.07118439674377441,304.0,3.117922739575119,13.565874338150024,,,,202
785682.ply,0.08804535865783691,2.0,0.42033536834483737,17.991394758224487,1.0,0.707,0.01181000346595514,255
785887.ply,0.07333064079284668,4.0,0.561413990660919,24.29218053817749,1.0,0.9996666666666667,0.009393978084159878,1024
785997.ply,0.07773852348327637,1.0,0.4934210112358054,7.07019567489624,3.0,0.8793333333333333,0.00800705847893535,1604
786001.ply,0.13619756698608398,1.0,0.2270700110060317,6.558091878890991,1.0,0.9186666666666666,0.007744306479960908,568
787629.ply,0.07320642471313477,1.0,0.3324397137653608,12.991151094436646,2.0,0.7273333333333334,0.01077552520879523,212
787761.ply,0.07555079460144043,1.0,0.2168600584606299,12.506025075912476,1.0,0.5553333333333333,0.012822672097626362,353
787913.ply,0.0736246109008789,7.0,0.5286723287401126,25.630099773406982,2.0,0.9243333333333333,0.009435710336742772,525
787914.ply,0.07331204414367676,9.0,0.5734412505927833,32.69203066825867,1.0,0.9203333333333333,0.010866111590173925,445
788695.ply,0.0737149715423584,11.0,0.9645807703579506,9.278887510299683,1.0,1.0,0.005827815605497767,584
788698.ply,0.07331395149230957,219.0,8.09802166671162,6.44171667098999,,,,710
788771.ply,0.0736837387084961,43.0,1.3717185799003546,13.931445121765137,,,,1198
788786.ply,0.09094548225402832,107.0,1.3869747339144072,23.792568683624268,,,,434
788794.ply,0.07375288009643555,5.0,0.8654615175136292,4.874987840652466,1.0,0.9993333333333333,0.006969377928844574,598
788905.ply,0.07334208488464355,12.0,0.9961463451379426,5.404898405075073,1.0,1.0,0.004998010054755057,606
788909.ply,0.08638310432434082,17.0,1.0110464582114718,8.200801134109497,,,,240
788916.ply,0.09258437156677246,32.0,0.9706981265922615,13.207225561141968,5.0,0.9533333333333334,0.009113367638539687,236
788920.ply,0.08993697166442871,7.0,0.7768115434454373,13.460039854049683,1.0,0.9833333333333333,0.00955108231035332,151
788923.ply,0.07302474975585938,4.0,0.5443698772991035,11.44013261795044,2.0,0.9996666666666667,0.007586134986953884,250
788926.ply,0.07969307899475098,1.0,0.2920258020698441,8.992917537689209,1.0,0.9526666666666667,0.010538658111217663,515
789366.ply,0.0732889175415039,10.0,0.6196698133818074,28.182252407073975,1.0,0.9906666666666667,0.007828267231153895,946
791705.ply,0.16187024116516113,2.0,0.42532803903615807,20.231154918670654,1.0,0.9996666666666667,0.004435784115886387,948
791713.ply,0.07363200187683105,1.0,0.7367813553708437,4.3780388832092285,1.0,1.0,0.003084304582181112,1721
791816.ply,0.07310342788696289,26.0,0.9454029964781345,11.412261962890625,1.0,0.8303333333333334,0.011470145679591226,162
791817.ply,0.07386994361877441,24.0,0.9243165291952837,10.233134269714355,1.0,0.8663333333333333,0.011320688351185972,108
791819.ply,0.07375741004943848,7.0,0.817716857014125,7.23863959312439,1.0,0.9496666666666667,0.010957073707438602,264
792161.ply,0.08493638038635254,11.0,0.4882594386240626,38.04682946205139,1.0,0.9366666666666666,0.010302634648673962,626
792350.ply,0.10314416885375977,3.0,0.6480230775836087,6.458860158920288,1.0,0.9786666666666667,0.007818134534794227,2157
792358.ply,0.07669925689697266,7.0,0.6233884851578958,6.720431804656982,2.0,0.9996666666666667,0.007698711447291661,1717
792429.ply,0.13062024116516113,9.0,0.6165213351213702,13.261386394500732,4.0,0.865,0.010256685643852206,373
